D:\Application\Anaconda3\envs\torch\python.exe C:/Users/meiyan/Desktop/VirtualBackground/find_lr.py
0/1375, loss:0.2944, lr:1e-08
203/1375, loss:0.2846, lr:1.0800765709563078e-07
204/1375, loss:0.2772, lr:1.0928119981407125e-07
205/1375, loss:0.2682, lr:1.1056975916280725e-07
206/1375, loss:0.2722, lr:1.118735122063237e-07
207/1375, loss:0.2706, lr:1.1319263809691287e-07
208/1375, loss:0.2679, lr:1.1452731809929228e-07
209/1375, loss:0.2611, lr:1.158777356155127e-07
210/1375, loss:0.2593, lr:1.1724407621015999e-07
211/1375, loss:0.2834, lr:1.1862652763585404e-07
212/1375, loss:0.2697, lr:1.2002527985904832e-07
213/1375, loss:0.2754, lr:1.2144052508613373e-07
214/1375, loss:0.2686, lr:1.2287245778985024e-07
215/1375, loss:0.2823, lr:1.2432127473600986e-07
216/1375, loss:0.2622, lr:1.257871750105348e-07
217/1375, loss:0.2728, lr:1.2727036004681446e-07
218/1375, loss:0.2762, lr:1.2877103365338485e-07
219/1375, loss:0.2800, lr:1.3028940204193455e-07
220/1375, loss:0.2621, lr:1.318256738556408e-07
221/1375, loss:0.2659, lr:1.333800601978398e-07
222/1375, loss:0.2791, lr:1.3495277466103484e-07
223/1375, loss:0.2777, lr:1.3654403335624683e-07
224/1375, loss:0.2817, lr:1.3815405494271058e-07
225/1375, loss:0.2732, lr:1.397830606579214e-07
226/1375, loss:0.2706, lr:1.4143127434803594e-07
227/1375, loss:0.2766, lr:1.4309892249863158e-07
228/1375, loss:0.2735, lr:1.4478623426582833e-07
229/1375, loss:0.2776, lr:1.4649344150777785e-07
230/1375, loss:0.2753, lr:1.4822077881652375e-07
231/1375, loss:0.2787, lr:1.4996848355023743e-07
232/1375, loss:0.2794, lr:1.5173679586583427e-07
233/1375, loss:0.2743, lr:1.5352595875197412e-07
234/1375, loss:0.2604, lr:1.5533621806245108e-07
235/1375, loss:0.2647, lr:1.5716782254997697e-07
236/1375, loss:0.2817, lr:1.590210239003631e-07
237/1375, loss:0.2679, lr:1.6089607676710514e-07
238/1375, loss:0.2771, lr:1.6279323880637572e-07
239/1375, loss:0.2603, lr:1.6471277071242968e-07
240/1375, loss:0.2846, lr:1.6665493625342682e-07
241/1375, loss:0.2690, lr:1.6862000230767695e-07
242/1375, loss:0.2623, lr:1.706082389003124e-07
243/1375, loss:0.2716, lr:1.72619919240393e-07
244/1375, loss:0.2742, lr:1.7465531975844827e-07
245/1375, loss:0.2783, lr:1.7671472014446276e-07
246/1375, loss:0.2719, lr:1.7879840338630885e-07
247/1375, loss:0.2724, lr:1.8090665580863296e-07
248/1375, loss:0.2787, lr:1.8303976711220016e-07
249/1375, loss:0.2722, lr:1.851980304137028e-07
250/1375, loss:0.2679, lr:1.8738174228603844e-07
251/1375, loss:0.2816, lr:1.895912027990628e-07
252/1375, loss:0.2650, lr:1.9182671556082315e-07
253/1375, loss:0.2782, lr:1.9408858775927787e-07
254/1375, loss:0.2799, lr:1.963771302045081e-07
255/1375, loss:0.2767, lr:1.9869265737142693e-07
256/1375, loss:0.2784, lr:2.0103548744299232e-07
257/1375, loss:0.2769, lr:2.0340594235392948e-07
258/1375, loss:0.2748, lr:2.0580434783496873e-07
259/1375, loss:0.2742, lr:2.0823103345760518e-07
260/1375, loss:0.2822, lr:2.1068633267938593e-07
261/1375, loss:0.2638, lr:2.1317058288973155e-07
262/1375, loss:0.2721, lr:2.1568412545629751e-07
263/1375, loss:0.2819, lr:2.1822730577188255e-07
264/1375, loss:0.2732, lr:2.2080047330189007e-07
265/1375, loss:0.2732, lr:2.2340398163234905e-07
266/1375, loss:0.2796, lr:2.2603818851850134e-07
267/1375, loss:0.2767, lr:2.287034559339618e-07
268/1375, loss:0.2745, lr:2.3140015012045805e-07
269/1375, loss:0.2748, lr:2.3412864163815678e-07
270/1375, loss:0.2724, lr:2.3688930541658342e-07
271/1375, loss:0.2680, lr:2.3968252080614224e-07
272/1375, loss:0.2716, lr:2.4250867163024404e-07
273/1375, loss:0.2720, lr:2.453681462380481e-07
274/1375, loss:0.2738, lr:2.482613375578267e-07
275/1375, loss:0.2739, lr:2.511886431509581e-07
276/1375, loss:0.2790, lr:2.5415046526655685e-07
277/1375, loss:0.2739, lr:2.571472108967477e-07
278/1375, loss:0.2841, lr:2.601792918325916e-07
279/1375, loss:0.2720, lr:2.632471247206711e-07
280/1375, loss:0.2565, lr:2.6635113112034297e-07
281/1375, loss:0.2804, lr:2.694917375616655e-07
282/1375, loss:0.2622, lr:2.7266937560400953e-07
283/1375, loss:0.2709, lr:2.758844818953601e-07
284/1375, loss:0.2772, lr:2.791374982323173e-07
285/1375, loss:0.2717, lr:2.824288716208049e-07
286/1375, loss:0.2734, lr:2.8575905433749477e-07
287/1375, loss:0.2847, lr:2.8912850399195517e-07
288/1375, loss:0.2666, lr:2.925376835895324e-07
